Order ID,Customer ID,Restaurant Name,Location,Cuisine Type,Order Date & Time,Delivery Time (mins),Order Status,Payment Method,Delivery Charges,Ratings
1020,C745,Taco Bell,Kolkata,Mexican,2024-03-01 16:09:00,55,Completed,Online (Wallet),33,3.8
1021,C535,Subway,Hyderabad,Indian,2024-03-07 21:07:00,38,Completed,COD,26,4.1
1022,C886,McDonald's,Mumbai,Italian,2024-03-05 18:59:00,43,Completed,Online (Wallet),35,4.1
1023,C533,Pizza Hut,Bangalore,Healthy,2024-03-02 22:11:00,23,Completed,Online (UPI),50,3.6
1024,C571,Subway,Kolkata,Healthy,2024-03-08 22:33:00,41,Completed,Online (Card),10,3.3
1025,C263,Pizza Hut,Chennai,Chinese,2024-03-12 19:40:00,30,Completed,Online (Card),32,4.6
1026,C346,Pizza Hut,Pune,Fast Food,2024-03-11 22:51:00,39,Completed,COD,25,4.8
1027,C996,Subway,Delhi,Italian,2024-03-05 16:54:00,58,Completed,Online (UPI),39,4.6
1028,C532,McDonald's,Chennai,Italian,2024-03-01 13:32:00,55,Completed,Online (Card),34,3.4
1029,C197,Burger King,Mumbai,Fast Food,2024-03-11 20:23:00,24,Completed,Online (Wallet),10,4.3
1030,C976,McDonald's,Bangalore,Indian,2024-03-10 14:48:00,21,Completed,COD,41,4.9
1031,C195,Subway,Mumbai,Mexican,2024-03-07 14:21:00,40,Completed,Online (Card),42,4.7
1032,C511,KFC,Hyderabad,Fast Food,2024-03-03 16:27:00,30,Completed,COD,14,3.2
1033,C375,Taco Bell,Bangalore,Fast Food,2024-03-10 18:02:00,43,Completed,Online (Wallet),46,3.8
1034,C250,KFC,Pune,Healthy,2024-03-10 19:02:00,42,Completed,Online (UPI),38,3.7
1035,C749,Burger King,Pune,Chinese,2024-03-02 11:44:00,38,Completed,Online (Wallet),40,3.1
1036,C986,KFC,Delhi,Mexican,2024-03-09 22:41:00,39,Completed,Online (Wallet),24,4.0
1037,C204,Taco Bell,Chennai,Chinese,2024-03-02 16:56:00,56,Completed,COD,15,4.9
1038,C963,Burger King,Pune,Indian,2024-03-14 11:05:00,47,Completed,COD,19,3.7
1039,C614,Subway,Kolkata,Chinese,2024-03-06 17:19:00,20,Completed,COD,34,4.6
1040,C358,KFC,Bangalore,Fast Food,2024-03-12 20:47:00,38,Completed,Online (UPI),46,3.3
1041,C215,Pizza Hut,Kolkata,Italian,2024-03-14 14:27:00,58,Completed,COD,38,4.7
1042,C540,Subway,Mumbai,Chinese,2024-03-11 21:50:00,42,Cancelled,COD,0,N/A
1043,C781,KFC,Pune,Mexican,2024-03-05 22:34:00,21,Completed,Online (Card),18,4.5
1044,C439,Dominos,Kolkata,Healthy,2024-03-10 21:47:00,26,Completed,COD,20,4.8
1045,C450,Burger King,Hyderabad,Italian,2024-03-14 13:32:00,38,Completed,Online (Wallet),36,5.0
1046,C721,Subway,Hyderabad,Indian,2024-03-04 14:40:00,27,Completed,Online (Card),10,4.0
1047,C724,Biryani Blues,Bangalore,Mexican,2024-03-01 18:28:00,37,Completed,Online (Card),10,4.8
1048,C933,Biryani Blues,Delhi,Mexican,2024-03-05 19:36:00,28,Completed,Online (UPI),45,3.6
1049,C589,Subway,Delhi,Indian,2024-03-11 14:50:00,51,Completed,Online (UPI),11,3.7
1050,C356,Pizza Hut,Pune,Italian,2024-03-09 11:35:00,58,Completed,Online (Card),41,3.2
1051,C394,Taco Bell,Delhi,Indian,2024-03-13 10:42:00,27,Cancelled,Online (UPI),0,N/A
1052,C489,Burger King,Pune,Indian,2024-03-08 22:17:00,38,Cancelled,Online (Card),0,N/A
1053,C739,Dominos,Delhi,Mexican,2024-03-13 21:15:00,36,Completed,COD,24,3.4
1054,C723,McDonald's,Bangalore,Mexican,2024-03-01 14:45:00,47,Completed,COD,39,3.7
1055,C783,Biryani Blues,Mumbai,Indian,2024-03-05 10:14:00,45,Completed,Online (Wallet),18,3.4
1056,C566,Subway,Kolkata,Healthy,2024-03-07 22:48:00,25,Completed,Online (Wallet),43,4.8
1057,C743,KFC,Mumbai,Mexican,2024-03-01 12:54:00,54,Completed,Online (Wallet),48,3.4
1058,C265,Biryani Blues,Pune,Fast Food,2024-03-04 13:26:00,23,Completed,Online (UPI),25,3.6
1059,C986,McDonald's,Pune,Fast Food,2024-03-10 16:13:00,45,Completed,Online (Card),21,4.3
1060,C926,KFC,Hyderabad,Chinese,2024-03-12 17:25:00,45,Completed,Online (Wallet),32,4.0
1061,C791,Burger King,Bangalore,Chinese,2024-03-04 10:51:00,24,Completed,Online (Card),37,4.5
1062,C372,Dominos,Chennai,Fast Food,2024-03-04 22:42:00,22,Completed,COD,37,3.3
1063,C186,Burger King,Bangalore,Indian,2024-03-13 15:00:00,28,Completed,Online (Wallet),15,3.0
1064,C532,KFC,Delhi,Fast Food,2024-03-10 21:08:00,32,Completed,Online (UPI),43,4.8
1065,C678,McDonald's,Pune,Italian,2024-03-11 18:53:00,26,Completed,Online (Wallet),17,4.7
1066,C965,Subway,Hyderabad,Italian,2024-03-09 14:53:00,56,Completed,Online (UPI),11,3.0
1067,C524,McDonald's,Chennai,Indian,2024-03-08 18:05:00,37,Completed,Online (Wallet),24,5.0
1068,C516,McDonald's,Kolkata,Chinese,2024-03-11 20:47:00,49,Completed,Online (Wallet),13,4.1
1069,C201,KFC,Pune,Indian,2024-03-12 21:02:00,35,Completed,Online (Wallet),25,4.2
1070,C504,KFC,Bangalore,Indian,2024-03-02 15:12:00,59,Completed,Online (UPI),30,4.8
1071,C757,McDonald's,Kolkata,Indian,2024-03-09 20:22:00,35,Completed,Online (Wallet),42,4.8
1072,C318,Biryani Blues,Chennai,Italian,2024-03-05 15:30:00,44,Completed,Online (UPI),50,4.0
1073,C782,Burger King,Kolkata,Indian,2024-03-10 14:02:00,59,Completed,Online (Card),47,4.5
1074,C808,Dominos,Mumbai,Healthy,2024-03-02 12:57:00,45,Completed,Online (Wallet),26,3.3
1075,C570,Burger King,Chennai,Healthy,2024-03-13 21:05:00,20,Completed,COD,20,3.2
1076,C713,Taco Bell,Hyderabad,Healthy,2024-03-05 22:45:00,32,Completed,Online (Wallet),28,3.2
1077,C779,McDonald's,Hyderabad,Healthy,2024-03-04 13:19:00,56,Completed,COD,17,3.7
1078,C677,KFC,Bangalore,Mexican,2024-03-09 14:48:00,59,Cancelled,Online (UPI),0,N/A
1079,C758,McDonald's,Kolkata,Italian,2024-03-01 12:47:00,50,Completed,Online (UPI),48,4.8
1080,C197,McDonald's,Kolkata,Italian,2024-03-09 21:05:00,36,Completed,Online (Card),22,3.2
1081,C372,Biryani Blues,Mumbai,Indian,2024-03-06 21:41:00,20,Completed,Online (Wallet),11,3.5
1082,C268,Pizza Hut,Mumbai,Italian,2024-03-02 22:49:00,22,Completed,Online (UPI),29,3.8
1083,C701,Pizza Hut,Mumbai,Italian,2024-03-12 13:07:00,32,Completed,Online (UPI),30,4.1
1084,C107,Biryani Blues,Hyderabad,Mexican,2024-03-06 21:01:00,32,Cancelled,Online (Wallet),0,N/A
1085,C676,Biryani Blues,Pune,Mexican,2024-03-03 17:04:00,28,Completed,Online (UPI),38,3.1
1086,C467,Dominos,Kolkata,Healthy,2024-03-01 20:37:00,20,Cancelled,Online (UPI),0,N/A
1087,C363,Taco Bell,Mumbai,Chinese,2024-03-01 16:01:00,31,Completed,Online (Card),24,4.8
1088,C658,Taco Bell,Bangalore,Indian,2024-03-01 16:34:00,56,Completed,Online (Wallet),17,4.3
1089,C300,McDonald's,Hyderabad,Chinese,2024-03-09 16:03:00,49,Completed,Online (UPI),40,4.4
1090,C509,Dominos,Chennai,Fast Food,2024-03-01 14:09:00,49,Completed,Online (UPI),39,4.1
1091,C622,KFC,Hyderabad,Healthy,2024-03-14 13:17:00,20,Cancelled,Online (UPI),0,N/A
1092,C397,Biryani Blues,Hyderabad,Chinese,2024-03-08 18:15:00,54,Cancelled,Online (Card),0,N/A
1093,C909,Dominos,Bangalore,Italian,2024-03-08 19:37:00,25,Completed,Online (UPI),31,3.6
1094,C189,Subway,Pune,Fast Food,2024-03-06 13:46:00,23,Cancelled,Online (UPI),0,N/A
1095,C657,Subway,Mumbai,Chinese,2024-03-04 14:43:00,58,Cancelled,COD,0,N/A
1096,C588,Burger King,Chennai,Chinese,2024-03-07 15:28:00,60,Completed,Online (Wallet),36,3.7
1097,C780,Dominos,Kolkata,Chinese,2024-03-02 18:10:00,22,Completed,Online (UPI),27,4.4
1098,C197,Burger King,Chennai,Indian,2024-03-12 12:33:00,40,Completed,COD,36,3.2
1099,C608,Subway,Mumbai,Chinese,2024-03-12 12:10:00,33,Completed,COD,15,4.0
1100,C845,Subway,Pune,Healthy,2024-03-12 12:56:00,33,Completed,Online (Wallet),36,3.5
1101,C146,Taco Bell,Delhi,Healthy,2024-03-14 14:53:00,45,Completed,Online (Card),24,4.3
1102,C868,KFC,Delhi,Fast Food,2024-03-11 17:18:00,48,Completed,Online (Card),48,4.1
1103,C416,Burger King,Pune,Italian,2024-03-11 18:56:00,38,Completed,COD,42,3.5
1104,C327,Burger King,Hyderabad,Chinese,2024-03-01 10:41:00,20,Completed,COD,46,4.3
1105,C837,Burger King,Mumbai,Italian,2024-03-14 13:34:00,41,Completed,COD,21,4.6
1106,C561,KFC,Kolkata,Italian,2024-03-13 19:46:00,44,Completed,Online (Wallet),11,3.4
1107,C515,KFC,Kolkata,Chinese,2024-03-02 21:16:00,54,Completed,COD,45,3.2
1108,C785,Biryani Blues,Kolkata,Healthy,2024-03-10 20:44:00,22,Completed,Online (Card),11,4.7
1109,C871,Taco Bell,Pune,Italian,2024-03-06 13:51:00,57,Completed,Online (UPI),24,3.1
1110,C102,Biryani Blues,Chennai,Healthy,2024-03-08 12:09:00,41,Cancelled,COD,0,N/A
1111,C415,Taco Bell,Hyderabad,Italian,2024-03-08 16:01:00,39,Cancelled,Online (UPI),0,N/A
1112,C770,McDonald's,Kolkata,Italian,2024-03-13 16:35:00,27,Completed,Online (Card),23,4.7
1113,C348,Subway,Hyderabad,Indian,2024-03-13 18:42:00,20,Completed,Online (Wallet),45,3.1
1114,C265,Pizza Hut,Mumbai,Chinese,2024-03-06 17:58:00,53,Completed,Online (UPI),34,3.3
1115,C809,Taco Bell,Delhi,Mexican,2024-03-12 10:04:00,50,Cancelled,Online (Wallet),0,N/A
1116,C704,KFC,Bangalore,Chinese,2024-03-13 17:36:00,47,Completed,COD,10,3.8
1117,C523,Taco Bell,Mumbai,Mexican,2024-03-14 15:18:00,41,Completed,Online (Card),22,4.0
1118,C412,KFC,Chennai,Italian,2024-03-10 20:15:00,24,Completed,COD,18,3.8
1119,C489,Dominos,Hyderabad,Fast Food,2024-03-14 18:54:00,44,Completed,Online (Card),33,4.2
1120,C277,Biryani Blues,Chennai,Chinese,2024-03-05 13:43:00,59,Completed,COD,12,3.3
1121,C518,Dominos,Chennai,Italian,2024-03-08 14:05:00,44,Cancelled,Online (UPI),0,N/A
1122,C580,Biryani Blues,Mumbai,Healthy,2024-03-13 16:44:00,20,Completed,Online (UPI),42,3.6
1123,C973,McDonald's,Hyderabad,Indian,2024-03-12 10:02:00,23,Cancelled,Online (UPI),0,N/A
1124,C900,Biryani Blues,Hyderabad,Chinese,2024-03-01 19:25:00,58,Completed,Online (UPI),44,3.3
1125,C293,Taco Bell,Hyderabad,Chinese,2024-03-07 17:43:00,58,Completed,COD,38,4.6
1126,C417,Subway,Pune,Italian,2024-03-13 15:36:00,46,Completed,Online (Card),23,4.8
1127,C694,KFC,Delhi,Fast Food,2024-03-09 16:09:00,28,Cancelled,Online (Card),0,N/A
1128,C532,Taco Bell,Delhi,Healthy,2024-03-11 13:29:00,56,Completed,Online (Card),43,4.4
1129,C732,Dominos,Chennai,Italian,2024-03-09 20:34:00,59,Completed,Online (Wallet),42,4.7
1130,C674,Dominos,Kolkata,Healthy,2024-03-08 13:21:00,42,Completed,Online (UPI),33,3.6
1131,C339,McDonald's,Mumbai,Healthy,2024-03-04 13:35:00,24,Completed,Online (Card),32,4.3
1132,C922,Subway,Bangalore,Chinese,2024-03-03 20:30:00,26,Completed,Online (Card),48,3.1
1133,C899,Biryani Blues,Pune,Chinese,2024-03-12 19:01:00,49,Completed,Online (Wallet),16,3.2
1134,C557,Pizza Hut,Kolkata,Mexican,2024-03-06 11:22:00,52,Completed,Online (UPI),16,3.7
1135,C429,Dominos,Mumbai,Chinese,2024-03-05 12:12:00,40,Completed,Online (UPI),40,3.6
1136,C688,Biryani Blues,Mumbai,Fast Food,2024-03-12 22:04:00,44,Completed,Online (Wallet),32,4.1
1137,C710,McDonald's,Pune,Fast Food,2024-03-08 19:16:00,33,Completed,COD,29,3.7
1138,C105,Subway,Bangalore,Indian,2024-03-06 17:21:00,26,Completed,Online (Wallet),32,4.0
1139,C479,KFC,Pune,Chinese,2024-03-06 12:10:00,24,Completed,Online (UPI),11,4.6
1140,C558,Taco Bell,Pune,Chinese,2024-03-05 10:03:00,32,Cancelled,Online (Wallet),0,N/A
1141,C497,Taco Bell,Pune,Mexican,2024-03-07 12:58:00,54,Completed,Online (Card),24,3.9
1142,C329,Taco Bell,Chennai,Mexican,2024-03-02 22:44:00,40,Completed,COD,11,3.3
1143,C854,Burger King,Pune,Healthy,2024-03-13 19:10:00,56,Completed,Online (UPI),26,3.8
1144,C346,Dominos,Mumbai,Italian,2024-03-06 15:13:00,37,Completed,Online (UPI),50,4.0
1145,C947,KFC,Kolkata,Mexican,2024-03-10 16:28:00,46,Cancelled,Online (UPI),0,N/A
1146,C269,Burger King,Bangalore,Italian,2024-03-06 15:56:00,56,Completed,Online (Card),47,3.9
1147,C784,KFC,Mumbai,Mexican,2024-03-01 11:18:00,55,Completed,Online (UPI),38,3.9
1148,C782,Pizza Hut,Hyderabad,Fast Food,2024-03-09 20:19:00,34,Completed,Online (Wallet),30,4.3
1149,C406,Burger King,Bangalore,Healthy,2024-03-14 19:16:00,38,Completed,Online (Card),17,4.4
1150,C276,McDonald's,Hyderabad,Chinese,2024-03-14 11:19:00,33,Completed,Online (Wallet),11,4.4
1151,C357,Pizza Hut,Mumbai,Italian,2024-03-03 12:09:00,49,Cancelled,Online (Card),0,N/A
1152,C471,Burger King,Pune,Indian,2024-03-14 22:49:00,55,Completed,Online (Card),43,3.4
1153,C644,Subway,Hyderabad,Chinese,2024-03-12 16:43:00,29,Completed,Online (Wallet),16,4.7
1154,C145,Burger King,Hyderabad,Mexican,2024-03-10 21:15:00,20,Completed,Online (UPI),34,4.4
1155,C499,Biryani Blues,Delhi,Mexican,2024-03-01 18:26:00,38,Cancelled,Online (Card),0,N/A
1156,C743,Dominos,Chennai,Chinese,2024-03-13 18:58:00,32,Completed,Online (UPI),17,3.4
1157,C556,Taco Bell,Mumbai,Mexican,2024-03-04 20:21:00,44,Cancelled,Online (Wallet),0,N/A
1158,C293,Pizza Hut,Delhi,Chinese,2024-03-06 11:59:00,26,Completed,Online (UPI),35,3.1
1159,C760,Burger King,Bangalore,Chinese,2024-03-10 10:01:00,53,Completed,Online (Wallet),22,3.0
1160,C572,Dominos,Pune,Fast Food,2024-03-04 19:48:00,58,Completed,Online (UPI),15,3.5
1161,C464,KFC,Delhi,Indian,2024-03-13 11:40:00,25,Completed,COD,39,4.6
1162,C529,Biryani Blues,Hyderabad,Indian,2024-03-04 12:22:00,43,Completed,COD,12,4.1
1163,C864,Subway,Hyderabad,Mexican,2024-03-10 15:40:00,45,Completed,Online (Wallet),27,4.3
1164,C944,Dominos,Pune,Indian,2024-03-12 17:23:00,59,Completed,Online (Card),22,4.0
1165,C271,Pizza Hut,Chennai,Italian,2024-03-12 19:45:00,45,Completed,Online (Card),30,4.0
1166,C672,Burger King,Mumbai,Healthy,2024-03-12 13:15:00,24,Cancelled,COD,0,N/A
1167,C398,Subway,Hyderabad,Chinese,2024-03-03 13:02:00,28,Cancelled,Online (Wallet),0,N/A
1168,C809,Burger King,Mumbai,Healthy,2024-03-11 12:37:00,56,Completed,Online (Card),37,4.9
1169,C111,Subway,Hyderabad,Italian,2024-03-04 12:47:00,36,Completed,Online (Card),47,3.0
1170,C396,Subway,Bangalore,Fast Food,2024-03-04 16:56:00,44,Completed,COD,13,3.9
1171,C177,Taco Bell,Bangalore,Mexican,2024-03-07 18:27:00,35,Completed,Online (Wallet),20,3.0
1172,C604,Pizza Hut,Mumbai,Healthy,2024-03-07 14:51:00,39,Cancelled,COD,0,N/A
1173,C463,Pizza Hut,Pune,Indian,2024-03-11 17:55:00,32,Completed,Online (Card),26,4.0
1174,C235,Taco Bell,Kolkata,Fast Food,2024-03-07 12:06:00,51,Cancelled,Online (Wallet),0,N/A
1175,C495,Taco Bell,Chennai,Mexican,2024-03-02 16:38:00,23,Completed,COD,27,4.7
1176,C807,Burger King,Pune,Healthy,2024-03-08 19:04:00,45,Completed,COD,30,4.7
1177,C642,Dominos,Pune,Fast Food,2024-03-02 19:50:00,46,Completed,COD,13,4.4
1178,C482,KFC,Delhi,Fast Food,2024-03-14 11:05:00,60,Completed,Online (Card),43,4.5
1179,C603,Pizza Hut,Hyderabad,Indian,2024-03-11 12:50:00,27,Completed,Online (UPI),12,4.1
1180,C333,Biryani Blues,Pune,Healthy,2024-03-11 22:40:00,60,Completed,Online (UPI),36,3.1
1181,C396,Biryani Blues,Pune,Healthy,2024-03-04 18:13:00,30,Completed,Online (Wallet),38,3.1
1182,C814,Taco Bell,Kolkata,Indian,2024-03-06 15:36:00,48,Completed,Online (UPI),35,3.1
1183,C900,Biryani Blues,Pune,Fast Food,2024-03-12 20:56:00,47,Completed,Online (Card),13,4.3
1184,C881,Burger King,Kolkata,Chinese,2024-03-03 21:32:00,34,Completed,COD,10,3.7
1185,C437,Subway,Chennai,Fast Food,2024-03-09 10:40:00,22,Completed,COD,37,3.7
1186,C900,Burger King,Mumbai,Healthy,2024-03-11 20:29:00,48,Completed,Online (Card),10,3.3
1187,C557,Burger King,Mumbai,Indian,2024-03-04 13:34:00,28,Completed,Online (UPI),46,3.5
1188,C308,Taco Bell,Kolkata,Mexican,2024-03-08 19:43:00,44,Completed,Online (Wallet),41,4.6
1189,C444,Burger King,Chennai,Mexican,2024-03-10 21:29:00,34,Completed,COD,42,3.8
1190,C245,Biryani Blues,Bangalore,Italian,2024-03-06 15:49:00,40,Completed,Online (Card),39,3.2
1191,C985,Biryani Blues,Kolkata,Chinese,2024-03-11 11:11:00,40,Completed,Online (Wallet),44,4.3
1192,C374,Subway,Chennai,Healthy,2024-03-04 15:48:00,32,Cancelled,Online (Wallet),0,N/A
1193,C623,Pizza Hut,Bangalore,Fast Food,2024-03-08 11:15:00,35,Completed,Online (Card),28,5.0
1194,C194,KFC,Hyderabad,Italian,2024-03-11 18:24:00,53,Completed,Online (Card),49,3.6
1195,C799,Pizza Hut,Delhi,Fast Food,2024-03-07 10:52:00,39,Completed,Online (Wallet),43,4.0
1196,C638,KFC,Bangalore,Healthy,2024-03-06 14:07:00,35,Completed,Online (Wallet),37,4.3
1197,C405,Biryani Blues,Mumbai,Mexican,2024-03-10 19:25:00,44,Completed,COD,13,4.7
1198,C236,Burger King,Kolkata,Fast Food,2024-03-14 17:06:00,38,Completed,COD,30,3.2
1199,C702,Biryani Blues,Chennai,Mexican,2024-03-13 13:54:00,48,Cancelled,Online (Card),0,N/A
1200,C299,Subway,Kolkata,Chinese,2024-03-02 12:37:00,59,Cancelled,Online (Card),0,N/A
1201,C822,Burger King,Delhi,Fast Food,2024-03-12 17:57:00,40,Completed,COD,26,4.5
1202,C747,McDonald's,Mumbai,Italian,2024-03-14 17:02:00,44,Completed,Online (Wallet),42,4.4
1203,C344,Biryani Blues,Chennai,Indian,2024-03-08 16:49:00,20,Completed,Online (Wallet),37,3.1
1204,C705,McDonald's,Pune,Healthy,2024-03-09 16:49:00,26,Completed,Online (Card),10,4.3
1205,C701,McDonald's,Bangalore,Indian,2024-03-11 13:45:00,54,Completed,Online (Card),43,4.2
1206,C551,Dominos,Mumbai,Indian,2024-03-10 17:53:00,43,Cancelled,Online (UPI),0,N/A
1207,C491,Biryani Blues,Pune,Indian,2024-03-07 10:38:00,48,Completed,Online (UPI),13,3.6
1208,C698,Pizza Hut,Bangalore,Italian,2024-03-03 19:06:00,46,Completed,Online (Wallet),32,4.2
1209,C894,Subway,Chennai,Fast Food,2024-03-09 19:14:00,41,Completed,Online (Card),13,4.3
1210,C886,McDonald's,Delhi,Fast Food,2024-03-07 13:24:00,59,Completed,COD,19,4.5
1211,C546,Taco Bell,Pune,Chinese,2024-03-02 18:33:00,28,Completed,Online (UPI),19,3.4
1212,C209,KFC,Hyderabad,Italian,2024-03-01 14:15:00,52,Completed,COD,46,4.1
1213,C361,Dominos,Mumbai,Healthy,2024-03-02 15:52:00,41,Completed,Online (Wallet),22,3.5
1214,C137,McDonald's,Mumbai,Italian,2024-03-12 14:06:00,50,Cancelled,Online (Card),0,N/A
1215,C403,Taco Bell,Delhi,Mexican,2024-03-09 18:11:00,39,Completed,Online (Wallet),46,4.4
1216,C180,Biryani Blues,Mumbai,Chinese,2024-03-06 20:11:00,22,Completed,Online (Wallet),28,3.1
1217,C999,Subway,Chennai,Healthy,2024-03-14 10:38:00,31,Completed,Online (Card),24,3.6
1218,C293,Taco Bell,Mumbai,Italian,2024-03-08 19:01:00,46,Cancelled,Online (Wallet),0,N/A
1219,C239,Biryani Blues,Bangalore,Healthy,2024-03-07 11:51:00,46,Cancelled,Online (UPI),0,N/A
1220,C530,KFC,Hyderabad,Fast Food,2024-03-14 10:14:00,22,Cancelled,Online (Wallet),0,N/A
1221,C996,Subway,Delhi,Indian,2024-03-11 18:35:00,28,Completed,COD,43,4.9
1222,C142,McDonald's,Chennai,Healthy,2024-03-14 12:02:00,55,Completed,Online (Wallet),34,3.1
1223,C423,McDonald's,Hyderabad,Chinese,2024-03-13 22:45:00,48,Completed,COD,12,3.2
1224,C906,Pizza Hut,Delhi,Indian,2024-03-08 19:27:00,36,Completed,Online (UPI),10,4.4
1225,C581,McDonald's,Mumbai,Mexican,2024-03-02 14:20:00,41,Completed,Online (Wallet),37,3.4
1226,C864,Burger King,Mumbai,Italian,2024-03-03 12:46:00,47,Completed,Online (UPI),45,3.4
1227,C798,Biryani Blues,Chennai,Chinese,2024-03-05 11:03:00,59,Completed,COD,42,4.1
1228,C963,Taco Bell,Chennai,Healthy,2024-03-11 10:36:00,36,Completed,Online (UPI),42,3.6
1229,C948,Biryani Blues,Kolkata,Mexican,2024-03-06 21:16:00,22,Completed,Online (UPI),33,3.4
1230,C307,Pizza Hut,Bangalore,Chinese,2024-03-03 13:09:00,23,Completed,Online (Card),40,3.3
1231,C513,Dominos,Pune,Healthy,2024-03-11 17:20:00,36,Completed,Online (Card),18,4.0
1232,C684,KFC,Chennai,Italian,2024-03-11 19:50:00,20,Completed,Online (UPI),33,4.7
1233,C952,Burger King,Kolkata,Mexican,2024-03-07 15:33:00,43,Completed,COD,19,3.1
1234,C630,Taco Bell,Mumbai,Mexican,2024-03-13 13:55:00,43,Completed,Online (Card),32,3.7
1235,C875,Dominos,Bangalore,Chinese,2024-03-12 21:43:00,44,Completed,Online (UPI),25,4.7
1236,C492,Subway,Chennai,Mexican,2024-03-04 11:17:00,39,Completed,Online (UPI),33,4.9
1237,C869,Taco Bell,Hyderabad,Chinese,2024-03-08 11:43:00,45,Completed,COD,37,4.1
1238,C776,McDonald's,Delhi,Indian,2024-03-03 19:54:00,58,Cancelled,Online (UPI),0,N/A
1239,C702,McDonald's,Bangalore,Italian,2024-03-12 22:22:00,58,Completed,Online (Wallet),38,4.4
1240,C945,Dominos,Mumbai,Healthy,2024-03-07 13:41:00,54,Completed,Online (Card),26,4.1
1241,C271,Biryani Blues,Pune,Mexican,2024-03-03 11:15:00,49,Completed,Online (Wallet),13,3.3
1242,C214,Dominos,Mumbai,Fast Food,2024-03-12 22:20:00,49,Completed,Online (Card),33,4.9
1243,C497,Taco Bell,Bangalore,Fast Food,2024-03-07 10:15:00,60,Cancelled,Online (Wallet),0,N/A
1244,C274,KFC,Kolkata,Indian,2024-03-01 21:51:00,57,Cancelled,Online (Wallet),0,N/A
1245,C591,KFC,Kolkata,Fast Food,2024-03-14 22:40:00,43,Completed,Online (Card),11,4.6
1246,C257,Pizza Hut,Delhi,Healthy,2024-03-09 18:29:00,36,Completed,Online (Card),29,3.8
1247,C547,KFC,Mumbai,Healthy,2024-03-01 13:21:00,45,Completed,Online (Card),25,4.4
1248,C310,McDonald's,Hyderabad,Italian,2024-03-11 22:14:00,56,Completed,Online (Wallet),33,4.1
1249,C329,KFC,Hyderabad,Fast Food,2024-03-07 14:15:00,38,Completed,COD,38,5.0
1250,C975,Dominos,Hyderabad,Italian,2024-03-05 12:25:00,21,Completed,Online (Wallet),19,4.0
1251,C441,Burger King,Bangalore,Chinese,2024-03-07 14:04:00,57,Completed,COD,31,4.9
1252,C292,McDonald's,Hyderabad,Healthy,2024-03-07 20:22:00,26,Completed,Online (UPI),48,3.7
1253,C632,Taco Bell,Delhi,Chinese,2024-03-06 12:39:00,30,Completed,Online (Wallet),26,3.6
1254,C297,Subway,Kolkata,Fast Food,2024-03-13 20:15:00,30,Completed,COD,24,4.0
1255,C884,McDonald's,Hyderabad,Indian,2024-03-14 21:00:00,29,Completed,Online (Card),28,4.5
1256,C836,Dominos,Chennai,Fast Food,2024-03-02 21:06:00,49,Completed,COD,28,3.3
1257,C669,KFC,Mumbai,Indian,2024-03-06 22:48:00,56,Cancelled,Online (Wallet),0,N/A
1258,C332,Taco Bell,Mumbai,Indian,2024-03-12 17:50:00,60,Cancelled,COD,0,N/A
